"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3887","alerts-browse","E2E Stories","2026-03-03","passed","2026-03-03","","bowser","",""
"","4768","api-validation","E2E Stories","2026-03-03","passed","2026-03-03","","bowser","",""
"","10317","admin-navigation","E2E Stories","2026-03-03","passed","2026-03-03","","bowser","",""
"","4328","policy-navigation","E2E Stories","2026-03-03","passed","2026-03-03","","bowser","",""
"","5586","health-check","E2E Stories","2026-03-03","passed","2026-03-03","","bowser","",""
"","6002","public-navigation","E2E Stories","2026-03-03","passed","2026-03-03","","bowser","",""
"","5254","public-pages","E2E Stories","2026-03-03","passed","2026-03-03","","bowser","",""
"","1904","suspicious-sms","E2E Stories","2026-03-03","passed","2026-03-03","","bowser","",""
"","4245","cookie-consent","E2E Stories","2026-03-03","passed","2026-03-03","","bowser","",""
"","4748","cookie-consent-reject","E2E Stories","2026-03-03","passed","2026-03-03","","bowser","",""
"","3650","safe-message","E2E Stories","2026-03-03","passed","2026-03-03","","bowser","",""
"","3551","report-flow","E2E Stories","2026-03-03","passed","2026-03-03","","bowser","",""
